id,name,meal_type,calories,protein,carbs,fat,ingredients,diet_tags,allergen_tags,budget_level,cooking_time,cuisine,difficulty
meal_155,Nasi Ayam Tepung Rumahan,lunch,700,38,78,25,"rice, chicken, flour, egg","halal, balanced, high_protein","egg, gluten",medium,30,indonesian,easy
meal_156,Nasi Sayur Sop Telur,lunch,470,21,60,14,"rice, egg, carrot, cabbage, potato","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly",egg,low,25,indonesian,easy
meal_157,Nasi Sayur Sop Tempe,lunch,490,23,64,13,"rice, tempeh, carrot, cabbage, potato","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly",soy,low,25,indonesian,easy
meal_158,Nasi Tumis Tauge Tahu,lunch,430,20,58,10,"rice, tofu, bean sprouts, garlic","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly",soy,low,15,indonesian,easy
meal_159,Sup Tahu Sayur,dinner,300,18,25,9,"tofu, carrot, cabbage, celery, garlic","halal, vegetarian, vegan, balanced, high_protein, high_fiber, light",soy,low,20,indonesian,easy
meal_160,Sayur Bening Bayam Telur,dinner,330,18,30,14,"spinach, corn, egg, garlic","halal, vegetarian, balanced, high_protein, high_fiber, light",egg,low,20,indonesian,easy
meal_161,Tumis Kangkung Tempe,dinner,420,24,35,18,"water spinach, tempeh, garlic, chili","halal, vegetarian, vegan, balanced, high_protein, high_fiber",soy,low,18,indonesian,easy
meal_162,Capcay Kuah Tahu,dinner,380,22,32,14,"tofu, cabbage, carrot, broccoli, garlic","halal, vegetarian, vegan, balanced, high_protein, high_fiber",soy,low,25,chinese_indonesian,easy
meal_163,Sop Ayam Kentang,dinner,430,32,36,14,"chicken, potato, carrot, cabbage, celery","halal, balanced, high_protein, high_fiber",,medium,30,indonesian,easy
meal_164,Tahu Tempe Bacem,dinner,520,26,52,22,"tofu, tempeh, sweet soy sauce, garlic","halal, vegetarian, vegan, balanced, high_protein",soy,low,35,indonesian,medium
meal_165,Ikan Kembung Panggang,dinner,470,35,30,22,"mackerel fish, cucumber, tomato, chili","halal, balanced, high_protein",fish,medium,30,indonesian,easy
meal_166,Ayam Jahe Kuah,dinner,390,34,20,18,"chicken, ginger, garlic, cabbage","halal, balanced, high_protein, high_fiber",,medium,25,indonesian,easy
meal_167,Nasi Goreng Sayur,dinner,540,16,78,18,"rice, cabbage, carrot, egg, sweet soy sauce","halal, vegetarian, balanced, high_protein, high_fiber","soy, egg",low,18,indonesian,easy
meal_168,Mie Kuah Telur,dinner,500,20,70,15,"noodles, egg, cabbage, garlic","halal, vegetarian, balanced, high_protein, high_fiber","egg, gluten",low,15,indonesian,easy
meal_169,Sup Jagung Telur,dinner,280,15,35,10,"corn, egg, chicken broth, scallion","halal, balanced, high_protein, high_fiber, light",egg,low,15,asian,easy
meal_170,Tumis Sawi Tofu,dinner,360,20,30,16,"tofu, mustard greens, garlic, soy sauce","halal, vegetarian, vegan, balanced, high_protein, light",soy,low,18,asian,easy
meal_171,Perkedel Kentang Telur,dinner,450,17,48,20,"potato, egg, flour, scallion","halal, vegetarian, balanced, high_protein","egg, gluten",low,25,indonesian,easy
meal_172,Soto Tahu,dinner,360,20,35,12,"tofu, turmeric broth, cabbage, bean sprouts","halal, vegetarian, vegan, balanced, high_protein, high_fiber, light",soy,low,25,indonesian,easy
meal_173,Tempe Kecap Pedas,dinner,430,24,42,17,"tempeh, sweet soy sauce, chili, garlic","halal, vegetarian, vegan, balanced, high_protein",soy,low,20,indonesian,easy
meal_174,Telur Ceplok Sambal,dinner,330,17,12,24,"egg, chili, tomato, shallot","halal, vegetarian, balanced, high_protein, light",egg,low,15,indonesian,easy
meal_175,Sup Oyong Telur,dinner,260,14,24,10,"egg, sponge gourd, carrot, garlic","halal, vegetarian, balanced, high_protein, high_fiber, light",egg,low,18,indonesian,easy
meal_176,Tumis Buncis Telur,dinner,350,19,25,16,"egg, green beans, garlic","halal, vegetarian, balanced, high_protein, light",egg,low,18,indonesian,easy
meal_177,Tahu Kukus Sayur,dinner,300,18,20,14,"tofu, spinach, carrot, soy sauce","halal, vegetarian, vegan, balanced, high_protein, high_fiber, light",soy,low,20,indonesian,easy
meal_178,Ayam Teriyaki Rumahan,dinner,480,38,35,20,"chicken, soy sauce, sweet soy sauce, broccoli","halal, balanced, high_protein",soy,medium,25,asian,easy
meal_179,Sayur Asem Tahu,dinner,360,18,48,8,"tofu, tamarind soup, corn, long beans","halal, vegetarian, vegan, balanced, high_protein, high_fiber, light",soy,low,30,indonesian,easy
meal_180,Sayur Asem Ikan,dinner,460,32,45,15,"fish, tamarind soup, corn, long beans","halal, balanced, high_protein, high_fiber",fish,medium,35,indonesian,medium
meal_181,Tumis Kol Tahu,dinner,320,18,28,14,"tofu, cabbage, garlic","halal, vegetarian, vegan, balanced, high_protein, high_fiber, light",soy,low,15,indonesian,easy
meal_182,Tumis Kol Ayam,dinner,430,32,28,18,"chicken, cabbage, garlic","halal, balanced, high_protein, high_fiber",,medium,20,indonesian,easy
meal_183,Sup Tahu Jamur,dinner,310,19,25,13,"tofu, mushroom, carrot, celery","halal, vegetarian, vegan, balanced, high_protein, high_fiber, light",soy,low,20,indonesian,easy
meal_184,Sup Ayam Jamur,dinner,420,34,25,18,"chicken, mushroom, carrot, celery","halal, balanced, high_protein, high_fiber",,medium,25,indonesian,easy
meal_185,Telur Balado Simple,dinner,420,20,20,25,"egg, chili, tomato, garlic","halal, vegetarian, balanced, high_protein",egg,low,25,indonesian,easy
meal_186,Tahu Balado Simple,dinner,380,20,26,20,"tofu, chili, tomato, garlic","halal, vegetarian, vegan, balanced, high_protein",soy,low,20,indonesian,easy
meal_187,Tempe Balado Simple,dinner,450,25,32,23,"tempeh, chili, tomato, garlic","halal, vegetarian, vegan, balanced, high_protein",soy,low,20,indonesian,easy
meal_188,Ikan Balado Simple,dinner,540,35,28,28,"fish, chili, tomato, garlic","halal, balanced, high_protein",fish,medium,30,indonesian,easy
meal_189,Sarden Kuah Tomat,dinner,430,28,25,22,"sardine, tomato sauce, spinach","halal, balanced, high_protein, high_fiber",fish,low,15,indonesian,easy
meal_190,Tuna Tumis Cabai,dinner,460,34,18,25,"tuna, chili, garlic, tomato","halal, balanced, high_protein",fish,medium,20,indonesian,easy
meal_191,Ayam Suwir Kemangi,dinner,430,35,18,22,"chicken, basil, chili, garlic","halal, balanced, high_protein",,medium,25,indonesian,easy
meal_192,Tahu Kemangi Kukus,dinner,300,18,20,14,"tofu, basil, garlic, chili","halal, vegetarian, vegan, balanced, high_protein, light",soy,low,20,indonesian,easy
meal_193,Tempe Kukus Kemangi,dinner,360,23,28,15,"tempeh, basil, garlic, chili","halal, vegetarian, vegan, balanced, high_protein, light",soy,low,20,indonesian,easy
meal_194,Sup Bayam Tahu,dinner,280,17,25,10,"tofu, spinach, corn, garlic","halal, vegetarian, vegan, balanced, high_protein, high_fiber, light",soy,low,18,indonesian,easy
meal_195,Sup Bayam Ayam,dinner,390,31,28,14,"chicken, spinach, corn, garlic","halal, balanced, high_protein, high_fiber",,medium,22,indonesian,easy
meal_196,Tumis Labu Siam Telur,dinner,340,18,30,14,"egg, chayote, garlic","halal, vegetarian, balanced, high_protein, light",egg,low,18,indonesian,easy
meal_197,Tumis Labu Siam Tahu,dinner,320,18,32,12,"tofu, chayote, garlic","halal, vegetarian, vegan, balanced, high_protein, light",soy,low,18,indonesian,easy
meal_198,Lodeh Tahu Ringan,dinner,430,18,40,22,"tofu, coconut milk, chayote, long beans","halal, vegetarian, balanced, high_protein, high_fiber","soy, milk, coconut",low,30,indonesian,easy
meal_199,Lodeh Tempe Ringan,dinner,470,22,42,23,"tempeh, coconut milk, chayote, long beans","halal, vegetarian, balanced, high_protein, high_fiber","soy, milk, coconut",low,30,indonesian,easy
meal_200,Bobor Bayam Tahu,dinner,380,18,34,18,"tofu, spinach, coconut milk, garlic","halal, vegetarian, balanced, high_protein, high_fiber","soy, milk, coconut",low,25,indonesian,easy
meal_201,Bobor Bayam Telur,dinner,410,19,32,21,"egg, spinach, coconut milk, garlic","halal, vegetarian, balanced, high_protein, high_fiber","egg, milk, coconut",low,25,indonesian,easy
meal_202,Opor Tahu Simple,dinner,430,18,32,24,"tofu, coconut milk, potato, spices","halal, vegetarian, balanced, high_protein","soy, milk, coconut",low,30,indonesian,easy
meal_203,Opor Ayam Simple,dinner,560,35,35,30,"chicken, coconut milk, potato, spices","halal, balanced, high_protein","milk, coconut",medium,40,indonesian,medium
meal_204,Semur Tahu Kentang,dinner,420,18,48,17,"tofu, potato, sweet soy sauce, garlic","halal, vegetarian, vegan, balanced, high_protein",soy,low,30,indonesian,easy
meal_205,Semur Telur Kentang,dinner,470,20,48,21,"egg, potato, sweet soy sauce, garlic","halal, vegetarian, balanced, high_protein","soy, egg",low,30,indonesian,easy
meal_206,Semur Ayam Kentang,dinner,580,35,50,24,"chicken, potato, sweet soy sauce, garlic","halal, balanced, high_protein",soy,medium,40,indonesian,medium
meal_207,Tumis Pare Telur,dinner,330,18,20,17,"egg, bitter melon, garlic","halal, vegetarian, balanced, high_protein, light",egg,low,18,indonesian,easy
meal_208,Tumis Pare Tahu,dinner,310,17,22,14,"tofu, bitter melon, garlic","halal, vegetarian, vegan, balanced, high_protein, light",soy,low,18,indonesian,easy
meal_209,Tumis Tauge Tempe,dinner,360,22,28,14,"tempeh, bean sprouts, garlic","halal, vegetarian, vegan, balanced, high_protein, high_fiber, light",soy,low,15,indonesian,easy
meal_210,Tumis Tauge Tahu,dinner,320,18,25,12,"tofu, bean sprouts, garlic","halal, vegetarian, vegan, balanced, high_protein, high_fiber, light",soy,low,15,indonesian,easy
meal_211,Sup Wortel Kentang Telur,dinner,360,17,40,13,"egg, carrot, potato, celery","halal, vegetarian, balanced, high_protein, high_fiber, light",egg,low,22,indonesian,easy
meal_212,Sup Wortel Kentang Ayam,dinner,460,32,42,15,"chicken, carrot, potato, celery","halal, balanced, high_protein, high_fiber",,medium,25,indonesian,easy
meal_213,Ayam Kecap Bawang,dinner,510,36,34,24,"chicken, sweet soy sauce, onion, garlic","halal, balanced, high_protein",soy,medium,25,indonesian,easy
meal_214,Tahu Kecap Bawang,dinner,350,19,28,16,"tofu, sweet soy sauce, onion, garlic","halal, vegetarian, vegan, balanced, high_protein, light",soy,low,18,indonesian,easy
meal_215,Tempe Kecap Bawang,dinner,410,24,34,17,"tempeh, sweet soy sauce, onion, garlic","halal, vegetarian, vegan, balanced, high_protein",soy,low,18,indonesian,easy
meal_216,Ikan Kecap Jahe,dinner,500,34,25,25,"fish, sweet soy sauce, ginger, garlic","halal, balanced, high_protein","soy, fish",medium,25,indonesian,easy
meal_217,Ayam Lada Hitam,dinner,520,36,28,26,"chicken, black pepper, onion","halal, balanced, high_protein",,medium,25,chinese_indonesian,easy
meal_218,Tahu Lada Hitam,dinner,370,20,24,18,"tofu, black pepper, onion","halal, vegetarian, vegan, balanced, high_protein, light",soy,low,20,chinese_indonesian,easy
meal_219,Tempe Lada Hitam,dinner,430,25,30,20,"tempeh, black pepper, onion","halal, vegetarian, vegan, balanced, high_protein",soy,low,20,chinese_indonesian,easy
meal_220,Cah Brokoli Tahu,dinner,350,19,28,15,"tofu, broccoli, garlic, soy sauce","halal, vegetarian, vegan, balanced, high_protein, light",soy,medium,20,chinese_indonesian,easy
meal_221,Cah Brokoli Ayam,dinner,470,35,28,19,"chicken, broccoli, garlic, soy sauce","halal, balanced, high_protein",soy,medium,22,chinese_indonesian,easy
meal_222,Sup Bakso Ayam Sayur,dinner,460,27,35,22,"chicken meatballs, cabbage, carrot, celery","halal, balanced, high_protein, high_fiber",,medium,25,indonesian,easy
meal_223,Mie Rebus Sayur,dinner,460,14,70,14,"noodles, cabbage, carrot, garlic","halal, vegetarian, vegan, balanced, high_fiber",gluten,low,12,indonesian,easy
meal_224,Mie Rebus Tahu,dinner,520,22,70,18,"noodles, tofu, cabbage, garlic","halal, vegetarian, vegan, balanced, high_protein, high_fiber","soy, gluten",low,15,indonesian,easy
meal_225,Mie Rebus Ayam,dinner,590,31,72,20,"noodles, chicken, cabbage, garlic","halal, balanced, high_protein, high_fiber",gluten,medium,18,indonesian,easy
meal_226,Kwetiau Kuah Tahu,dinner,560,22,78,18,"flat rice noodles, tofu, cabbage, soy sauce","halal, vegetarian, vegan, balanced, high_protein, high_fiber","soy, gluten",medium,20,chinese_indonesian,easy
meal_227,Kwetiau Kuah Ayam,dinner,640,34,80,20,"flat rice noodles, chicken, cabbage, soy sauce","halal, balanced, high_protein, high_fiber","soy, gluten",medium,22,chinese_indonesian,easy
meal_228,Nasi Liwet Teri Simple,dinner,620,24,82,20,"rice, anchovy, coconut milk, chili","halal, vegetarian, balanced","milk, fish, coconut",medium,35,indonesian,medium
meal_229,Nasi Liwet Tempe,dinner,580,24,80,17,"rice, tempeh, coconut milk, chili","halal, vegetarian, balanced, high_protein","soy, milk, coconut",low,35,indonesian,medium
meal_230,Nasi Liwet Ayam,dinner,680,37,84,22,"rice, chicken, coconut milk, chili","halal, balanced, high_protein","milk, coconut",medium,40,indonesian,medium
meal_231,Pepes Tahu Kemangi,dinner,310,18,20,14,"tofu, basil, banana leaf, chili","halal, vegetarian, vegan, balanced, high_protein, light",soy,low,30,indonesian,easy
meal_232,Pepes Tempe Kemangi,dinner,370,23,28,15,"tempeh, basil, banana leaf, chili","halal, vegetarian, vegan, balanced, high_protein, light",soy,low,30,indonesian,easy
meal_233,Pepes Ayam Kemangi,dinner,460,36,20,24,"chicken, basil, banana leaf, chili","halal, balanced, high_protein",,medium,35,indonesian,medium
meal_234,Pepes Ikan Kemangi,dinner,490,35,20,26,"fish, basil, banana leaf, chili","halal, balanced, high_protein",fish,medium,35,indonesian,medium
meal_235,Tahu Telur Kuah Kecap,dinner,390,24,26,20,"tofu, egg, sweet soy sauce, cucumber","halal, vegetarian, balanced, high_protein","soy, egg",low,20,indonesian,easy
meal_236,Tumis Jamur Tahu,dinner,330,19,24,15,"tofu, mushroom, garlic","halal, vegetarian, vegan, balanced, high_protein, light",soy,low,18,indonesian,easy
meal_237,Tumis Jamur Ayam,dinner,450,34,24,19,"chicken, mushroom, garlic","halal, balanced, high_protein",,medium,20,indonesian,easy
meal_238,Sup Kacang Merah Ayam,dinner,520,35,48,18,"chicken, red beans, carrot, celery","halal, balanced, high_protein, high_fiber",,medium,40,indonesian,medium
meal_239,Sup Kacang Merah Tahu,dinner,430,21,52,13,"tofu, red beans, carrot, celery","halal, vegetarian, vegan, balanced, high_protein, high_fiber",soy,low,35,indonesian,medium
meal_240,Bening Katuk Telur,dinner,300,16,25,12,"egg, katuk leaves, corn, garlic","halal, vegetarian, balanced, high_protein, high_fiber, light",egg,low,18,indonesian,easy
meal_241,Bening Katuk Tahu,dinner,270,16,24,10,"tofu, katuk leaves, corn, garlic","halal, vegetarian, vegan, balanced, high_protein, high_fiber, light",soy,low,18,indonesian,easy
meal_242,Nasi Goreng Tahu,dinner,540,22,74,17,"rice, tofu, garlic, sweet soy sauce","halal, vegetarian, vegan, balanced, high_protein",soy,low,18,indonesian,easy
meal_243,Nasi Goreng Ayam,dinner,620,34,76,20,"rice, chicken, garlic, sweet soy sauce","halal, balanced, high_protein",soy,medium,20,indonesian,easy
meal_244,Nasi Goreng Ikan Asin,dinner,610,28,78,20,"rice, salted fish, egg, garlic","halal, balanced, high_protein","egg, fish",medium,20,indonesian,easy
meal_245,Tumis Daun Singkong Teri,dinner,430,24,30,22,"cassava leaves, anchovy, garlic, coconut","halal, vegetarian, vegan, balanced","fish, coconut",medium,25,indonesian,easy
meal_246,Tumis Daun Singkong Tahu,dinner,360,18,30,16,"cassava leaves, tofu, garlic, coconut","halal, vegetarian, vegan, balanced, high_protein, light","soy, coconut",low,25,indonesian,easy
meal_247,Ayam Kukus Jahe,dinner,400,36,12,24,"chicken, ginger, garlic, scallion","halal, balanced, high_protein",,medium,30,indonesian,easy
meal_248,Tahu Kukus Jahe,dinner,290,18,16,14,"tofu, ginger, garlic, scallion","halal, vegetarian, vegan, balanced, high_protein, light",soy,low,20,indonesian,easy
meal_249,Pisang Rebus,snack,150,2,35,1,banana,"halal, vegetarian, vegan, balanced, budget_friendly",,low,10,indonesian,easy
meal_250,Ubi Rebus,snack,180,2,41,1,sweet potato,"halal, vegetarian, vegan, balanced, budget_friendly",,low,20,indonesian,easy
meal_251,Jagung Rebus,snack,210,6,36,6,"corn, butter","halal, vegetarian, vegan, balanced, high_fiber, budget_friendly",,low,15,indonesian,easy
meal_252,Telur Rebus,snack,155,13,1,11,egg,"halal, vegetarian, balanced, high_protein, budget_friendly",egg,low,10,indonesian,easy
meal_253,Tempe Goreng,snack,270,15,24,13,"tempeh, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,15,indonesian,easy
meal_254,Tahu Isi Sayur,snack,250,10,28,11,"tofu, cabbage, carrot, flour","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly","soy, gluten",low,25,indonesian,medium
meal_255,Bakwan Sayur,snack,260,7,34,10,"flour, cabbage, carrot, corn","halal, vegetarian, vegan, balanced, high_fiber, budget_friendly",gluten,low,20,indonesian,easy
meal_256,Buah Potong Campur,snack,120,2,28,1,"papaya, melon, banana","halal, vegetarian, vegan, balanced, budget_friendly",,low,5,indonesian,easy
meal_257,Roti Pisang,snack,330,9,55,9,"bread, banana","halal, vegetarian, vegan, balanced, budget_friendly",gluten,low,8,western,easy
meal_258,Yogurt Buah,snack,220,9,38,4,"yogurt, banana, apple","halal, vegetarian, balanced",milk,medium,5,global,easy
meal_259,Edamame Rebus,snack,190,17,14,8,"edamame, salt","halal, vegetarian, vegan, balanced, high_protein",,medium,8,japanese,easy
meal_260,Kacang Rebus,snack,260,12,22,14,peanut,"halal, vegetarian, vegan, balanced, budget_friendly",peanut,low,25,indonesian,medium
meal_261,Puding Susu,snack,230,7,35,7,"milk, agar agar, sugar","halal, vegetarian, balanced, budget_friendly",milk,low,15,indonesian,easy
meal_262,Singkong Keju,snack,340,8,52,12,"cassava, cheese","halal, vegetarian, balanced",milk,medium,20,indonesian,easy
meal_263,Smoothie Pisang,snack,260,10,46,5,"banana, milk, oats","halal, vegetarian, balanced, budget_friendly",milk,low,5,global,easy
meal_264,Bubur Kacang Hijau Mini,snack,240,9,42,5,"mung beans, coconut milk, palm sugar","halal, vegetarian, balanced, high_fiber, budget_friendly","milk, coconut",low,25,indonesian,medium
meal_265,Perkedel Tahu Mini,snack,220,12,18,10,"tofu, egg, flour, scallion","halal, vegetarian, balanced, high_protein, budget_friendly","soy, egg, gluten",low,20,indonesian,easy
meal_266,Onigiri Sederhana,snack,280,8,52,5,"rice, tuna, seaweed","halal, balanced, high_protein",fish,medium,15,japanese,easy
meal_267,Martabak Telur Mini,snack,360,16,38,16,"flour, egg, scallion","halal, vegetarian, balanced, high_protein","egg, gluten",medium,25,indonesian,medium
meal_268,Oat Bar Homemade,snack,260,8,40,8,"oats, banana, peanut butter","halal, vegetarian, vegan, balanced, budget_friendly",peanut,low,15,western,easy
meal_269,Jagung Susu Keju,snack,320,10,45,11,"corn, milk, cheese","halal, vegetarian, balanced, high_fiber",milk,medium,10,indonesian,easy
meal_270,Tahu Kukus Saus Kecap,snack,180,11,12,8,"tofu, sweet soy sauce, scallion","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,10,indonesian,easy
meal_271,Tempe Kukus Sambal,snack,210,14,18,9,"tempeh, chili, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,12,indonesian,easy
meal_272,Telur Gulung Mini,snack,200,14,4,14,"egg, scallion","halal, vegetarian, balanced, high_protein, budget_friendly",egg,low,8,indonesian,easy
meal_273,Pisang Oat Panggang,snack,230,7,42,5,"banana, oats, milk","halal, vegetarian, balanced, budget_friendly",milk,low,15,western,easy
meal_274,Ubi Kukus Kelapa,snack,220,3,48,3,"sweet potato, coconut","halal, vegetarian, vegan, balanced, budget_friendly",coconut,low,20,indonesian,easy
meal_275,Singkong Rebus Gula Merah,snack,260,3,58,3,"cassava, palm sugar, coconut","halal, vegetarian, vegan, balanced, budget_friendly",coconut,low,25,indonesian,medium
meal_276,Roti Bakar Coklat Pisang,snack,360,8,60,10,"bread, banana, chocolate sprinkles","halal, vegetarian, vegan, balanced, budget_friendly",gluten,low,8,western,easy
meal_277,Tahu Crispy Mini,snack,240,11,26,10,"tofu, flour, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly","soy, gluten",low,15,indonesian,easy
meal_278,Tempe Crispy Mini,snack,280,15,28,12,"tempeh, flour, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly","soy, gluten",low,15,indonesian,easy
meal_279,Bakwan Jagung Mini,snack,250,7,35,9,"corn, flour, scallion","halal, vegetarian, vegan, balanced, high_fiber, budget_friendly",gluten,low,18,indonesian,easy
meal_280,Pisang Goreng Oat,snack,300,6,48,11,"banana, flour, oats","halal, vegetarian, vegan, balanced, budget_friendly",gluten,low,18,indonesian,easy
meal_281,Ubi Goreng Tepung,snack,310,4,55,10,"sweet potato, flour","halal, vegetarian, vegan, balanced, budget_friendly",gluten,low,18,indonesian,easy
meal_282,Kentang Rebus Telur,snack,280,14,35,8,"potato, egg","halal, vegetarian, balanced, high_protein, budget_friendly",egg,low,20,indonesian,easy
meal_283,Salad Buah Yogurt,snack,260,8,42,6,"apple, banana, yogurt","halal, vegetarian, balanced",milk,medium,10,global,easy
meal_284,Ketan Kelapa Mini,snack,300,5,62,6,"glutinous rice, coconut","halal, vegetarian, vegan, balanced, budget_friendly",coconut,low,25,indonesian,medium
meal_285,Lemper Ayam Simple,snack,330,15,50,9,"glutinous rice, chicken, coconut milk","halal, balanced, high_protein","milk, coconut",medium,30,indonesian,medium
meal_286,Arem Arem Tahu,snack,300,11,48,8,"rice, tofu, carrot, coconut milk","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly","soy, milk, coconut",low,30,indonesian,medium
meal_287,Dadar Gulung Mini,snack,220,5,36,6,"flour, coconut, palm sugar","halal, vegetarian, vegan, balanced, budget_friendly","gluten, coconut",low,25,indonesian,medium
meal_288,Klepon Mini,snack,210,4,42,4,"glutinous rice flour, coconut, palm sugar","halal, vegetarian, vegan, balanced, budget_friendly","gluten, coconut",low,25,indonesian,medium
meal_289,Nagasari Pisang,snack,240,5,45,6,"rice flour, banana, coconut milk","halal, vegetarian, balanced, budget_friendly","gluten, milk, coconut",low,25,indonesian,medium
meal_290,Tahu Bakso Ayam,snack,300,20,18,14,"tofu, chicken, flour","halal, balanced, high_protein","soy, gluten",medium,25,indonesian,medium
meal_291,Siomay Tahu Simple,snack,320,18,30,12,"tofu, fish, flour, peanut sauce","halal, balanced, high_protein","soy, peanut, gluten, fish",medium,25,indonesian,medium
meal_292,Batagor Tahu Mini,snack,360,18,34,18,"tofu, fish, flour, peanut sauce","halal, balanced, high_protein","soy, peanut, gluten, fish",medium,25,indonesian,medium
meal_293,Kroket Kentang Sayur,snack,310,8,42,12,"potato, carrot, flour, egg","halal, vegetarian, balanced, high_protein, high_fiber","egg, gluten",medium,25,indonesian,medium
meal_294,Sate Tempe Mini,snack,260,15,26,10,"tempeh, sweet soy sauce, peanut sauce","halal, vegetarian, vegan, balanced, high_protein, budget_friendly","soy, peanut",low,20,indonesian,easy
meal_295,Sate Tahu Mini,snack,230,12,20,10,"tofu, sweet soy sauce, peanut sauce","halal, vegetarian, vegan, balanced, high_protein, budget_friendly","soy, peanut",low,20,indonesian,easy
meal_296,Rujak Buah Simple,snack,180,3,40,2,"mango, cucumber, peanut, palm sugar","halal, vegetarian, vegan, balanced, budget_friendly",peanut,low,10,indonesian,easy
meal_297,Kolak Pisang Mini,snack,280,4,52,8,"banana, coconut milk, palm sugar","halal, vegetarian, balanced, budget_friendly","milk, coconut",low,20,indonesian,easy
meal_298,Susu Jahe Oat,snack,230,9,32,7,"milk, ginger, oats","halal, vegetarian, balanced, budget_friendly",milk,low,10,global,easy
meal_299,Tahu Kukus Kecap Mini,snack,170,10,12,8,"tofu, sweet soy sauce, scallion","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,10,indonesian,easy
meal_300,Pisang Panggang Kayu Manis,snack,190,3,42,3,"banana, cinnamon","halal, vegetarian, vegan, balanced, budget_friendly",,low,12,indonesian,easy
